InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
NMGVHLDIHNFGQB	plant|plant_angiospermae|naturalproduct_plant|naturalproduct			
NMHMNPHRMNGLLB	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NMKBRSYSHBPUPY	naturalproduct			
NMLBREXWQRPOJH	plant|naturalproduct_plant			
NMLUOJBSAYAYEM	naturalproduct			
NMPZCCZXCOMSDQ	|food|human	9606|Homo sapiens		food consumption
NMZDJTDURFIQKE	naturalproduct			
NNBURDJZOIAAHY	naturalproduct			
NNISLDGFPWIBDF	naturalproduct			
NNJPGOLRFBJNIW	drug|naturalproduct			drug or medication use
NNJVILVZKWQKPM	drug|synthetic|human	:9606|Homo sapiens	blood|feces|urine	|drug or medication use
NNKVPIKMPCQWCG	drug|human	9606|Homo sapiens		drug or medication use
NNOMPFCNQCRAIO	fungal|fungal_produced			
NNPDNNXUSPXBRO	naturalproduct			
NNPPLRJHBQPBAQ	naturalproduct			
NNUVZGQKBVLNIO	naturalproduct			
NNWMHSNRRWMMBI	naturalproduct			
NNYBQONXHNTVIJ	drug|human	9606|Homo sapiens		drug or medication use
NNZHGEUZKBYASA	naturalproduct			
NOCJXYPHIIZEHN	biocide_antimicrobial|dissolvedorganicmatter_water_saline|drug			|drug or medication use
NODILNFGTFIURN	|food|human|naturalproduct	9606|Homo sapiens		food consumption
NODOLTRBPIFGCQ	bacterial|bacterial_produced			
NOFNCLGCUJJPKU	|food|human|naturalproduct	9606|Homo sapiens		food consumption
NOFOAYPPHIUXJR	fungal|plant|naturalproduct_plant|naturalproduct|fungal_produced			
NOFXXAHHOJWYAL	naturalproduct			
NOHXYGXFTACADH	naturalproduct			
NOIIUHRQUVNIDD	drug			drug or medication use
NOKPBJYHPHHWAN	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NOKUIKNJHIHLGT	naturalproduct			
NOOCSNJCXJYGPE	drug			|drug or medication use
NOOLISFMXDJSKH	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NOPAMSBRHITOGE	food			
NOPFSRXAKWQILS	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NOQGZXFMHARMLW	naturalproduct			
NORHBOUZICGKOK	naturalproduct			
NOSIYYJFMPDDSA	drug|human	9606|Homo sapiens		drug or medication use
NOTGFIUVDGNKRI	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NOZAJYKZMCFNFG	naturalproduct			
NPAGDVCDWIYMMC	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
NPAQHLFPEOMKAL	naturalproduct			
NPDACUSDTOMAMK	MS_contaminant		skin of body	
NPDSHTNEKLQQIJ	|human|naturalproduct	9606|Homo sapiens		
NPEONIHYDZZZGH	naturalproduct			
NPJICTMALKLTFW	|food|human|naturalproduct	9606|Homo sapiens		food consumption
NPNNKDMSXVRADT	food|human|plant|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood|feces|urine	|food consumption
NPOAOTPXWNWTSH	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NPPQSCRMBWNHMW	drug|human	9606|Homo sapiens		drug or medication use
NPRMKCREBUKCFL	bacterial|bacterial_produced			
NPUKDXXFDDZOKR	drug|human	9606|Homo sapiens		drug or medication use
NPUXQAACUNUHIX	naturalproduct_fungal|fungal|naturalproduct|fungal_produced			
NPVUMVVTBDKDDD	naturalproduct			
NPWKEUKXVOMELT	fungal|fungal_produced			
NPYICXUUGUJPMM	naturalproduct|bacterial|bacterial_produced			
NQDJXKOVJZTUJA	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
NQFUSWIGRKFAHK	plant|naturalproduct_plant			
NQNOTBRHBRJKKH	naturalproduct			
NQPDXQQQCQDHHW	drug			drug or medication use
NQPDZGIKBAWPEJ	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NQRBAPDEZYMKFL	food|human|naturalproduct	:9606|Homo sapiens	blood|feces|urine	|food consumption
NQRKYASMKDDGHT	drug			drug or medication use
NQRYJNQNLNOLGT	|food|human|naturalproduct	9606|Homo sapiens		food consumption
NQWVSMVXKMHKTF	food|human|plant|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	feces	|food consumption
NQXDDVZOWBZZHN	naturalproduct			
NRAAGHLLAJEOAZ	food			
NREAGDHHMSOWKZ	drug			
NRJAVPSFFCBXDT	drug			drug or medication use
